generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,81.5,38.152,31.0,0.10,0.10
1,188.0,57.706,31.0,0.15,0.25
2,403.9,74.01400000000001,31.0,0.15,0.40
3,403.9,78.41,31.0,0.16,0.56
4,510.1,112.16000000000003,31.0,0.17,0.73
5,510.1,96.796,31.0,0.16,0.89
6,510.1,86.60799999999999,31.0,0.16,1.05
7,512.1,97.61,31.0,0.17,1.22
8,618.4,123.902,31.0,0.18,1.40
9,618.4,114.14399999999999,31.0,0.18,1.58
10,618.4,103.904,31.0,0.16,1.74
11,834.7,139.122,31.0,0.20,1.94
12,8146.5,356.6739999999999,31.0,0.24,2.18
13,8146.5,361.9200000000001,31.0,0.22,2.40
14,8146.5,429.4659999999999,31.0,0.25,2.65
15,11445.7,779.1419999999999,31.0,0.31,2.96
16,11445.7,1190.1680000000001,31.0,0.39,3.35
17,12612.2,1852.8419999999999,31.0,0.50,3.84
18,12612.2,2409.2320000000004,31.0,0.60,4.44
19,12612.2,2176.0299999999993,31.0,0.55,4.99
20,15355.8,3243.3619999999996,31.0,0.76,5.75
21,15355.8,2673.7500000000005,31.0,0.63,6.37
22,15355.8,3030.01,31.0,0.71,7.08
23,15355.8,3113.8380000000006,31.0,0.75,7.83
24,15355.8,3524.0779999999986,31.0,0.83,8.66
25,15355.8,2093.934,31.0,0.55,9.21
26,15355.8,2329.4480000000003,31.0,0.61,9.82
27,15355.8,3340.8839999999996,31.0,0.78,10.60
28,15355.8,3255.5119999999997,31.0,0.74,11.34
29,15355.8,2357.65,31.0,0.59,11.94
30,15355.8,2077.1520000000005,31.0,0.54,12.48
31,15355.8,1982.756,31.0,0.53,13.01
32,15355.8,1992.8319999999999,31.0,0.53,13.54
33,15355.8,1868.9840000000006,31.0,0.48,14.02
34,15355.8,1707.442,31.0,0.49,14.51
35,15355.8,3232.5139999999997,31.0,0.77,15.27
36,15355.8,2676.655999999999,31.0,0.65,15.93
37,15355.8,1839.2879999999996,31.0,0.48,16.41
38,15355.8,2072.78,31.0,0.54,16.94
39,15355.8,1616.0300000000002,31.0,0.46,17.41
40,15355.8,3047.883999999999,31.0,0.73,18.14
41,15355.8,3299.246000000001,31.0,0.76,18.90
42,15355.8,3871.8059999999987,31.0,0.90,19.81
43,15355.8,3068.01,31.0,0.72,20.53
44,15355.8,2514.2420000000006,31.0,0.63,21.16
45,15355.8,2143.634,31.0,0.54,21.70
46,15355.8,2038.9100000000005,31.0,0.53,22.23
47,15355.8,3094.02,31.0,0.71,22.94
48,15355.8,2948.9679999999994,31.0,0.71,23.65
49,15355.8,2698.5319999999997,31.0,0.65,24.30
